"UFH42Code","avg_Rentprice"
105,1688.42857142857
103,1659.28571428571
106,1961
107,1688.42857142857
101,2225.6
102,1688.42857142857
104,1627.22222222222
203,2216.8
209,2194
206,2146.8
208,2197.32
210,2202.5652173913
202,2903.4
207,2114.84
204,2016
201,3339.96
205,2145.12
211,1976.83333333333
302,2737.28
306,3680.68
303,2567.32
307,3778.28
308,4011.41666666667
310,3503.16666666667
309,3967.64
305,3399.96
304,3442.17391304348
301,2325.4
404,2005.36
403,2199.61538461538
406,2032.29166666667
408,1801.04
401,2668.53846153846
405,2051.53846153846
410,1971.04347826087
409,2535.11538461538
407,2130.45454545455
402,2005.36
501,1800
503,1593
502,2245
504,2390
